run,agent,job,model,turns,rebuttals,rebuttal_rate,evidence_turns,evidence_rate,heated_turns,profanity_turns,mean_confidence,mean_tokens,mean_latency_ms
1,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,6,5,83.3,4,66.7,1,0,89.5,325.2,14842
1,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,3,1,33.3,3,100,0,0,78.3,319.3,30751
1,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,6,4,66.7,2,33.3,0,0,76.8,180,16023
1,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,4,4,100,1,25,1,0,95,235.3,5064
2,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,5,4,80,4,80,1,0,91,324.6,11834
2,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,4,3,75,3,75,2,0,67.5,265,156736
2,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,2,2,100,1,50,0,0,82,199,14993
2,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,7,6,85.7,3,42.9,3,1,92.9,244,5361
3,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,5,4,80,3,60,0,0,86.4,337.8,15497
3,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,3,3,100,3,100,0,0,76.7,177.3,31570
3,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,1,1,100,0,0,0,0,88,177,12351
3,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,8,8,100,5,62.5,0,0,95.6,260.4,5463
4,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,5,4,80,4,80,1,0,89.8,299.2,11632
4,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,3,1,33.3,3,100,0,0,75,230.7,29694
4,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,3,3,100,1,33.3,0,0,71.7,136,15357
4,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,6,6,100,2,33.3,0,0,95,257.2,6183
5,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,6,6,100,3,50,1,0,88,279,16199
5,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,3,3,100,3,100,1,0,68.3,209.3,31505
5,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,4,3,75,3,75,0,0,71.8,198.8,15897
5,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,5,5,100,4,80,0,0,95,271.2,6545
