run,agent,theme,utterances_with_theme
1,김민석,정확성·공정성,1
1,김민석,경기 흐름·감정,3
1,김민석,인간 심판·현장 판단,4
1,김민석,AI·자동화 기술,4
1,김민석,투명성·책임,5
1,김민석,개입 범위·프로토콜,2
1,김민석,비용·리그 격차,1
1,김민석,선수 안전,2
1,윤서아,정확성·공정성,3
1,윤서아,경기 흐름·감정,1
1,윤서아,인간 심판·현장 판단,3
1,윤서아,AI·자동화 기술,3
1,윤서아,투명성·책임,1
1,윤서아,개입 범위·프로토콜,3
1,윤서아,비용·리그 격차,0
1,윤서아,선수 안전,0
1,박도현,정확성·공정성,1
1,박도현,경기 흐름·감정,2
1,박도현,인간 심판·현장 판단,1
1,박도현,AI·자동화 기술,4
1,박도현,투명성·책임,3
1,박도현,개입 범위·프로토콜,3
1,박도현,비용·리그 격차,1
1,박도현,선수 안전,2
1,한지우,정확성·공정성,2
1,한지우,경기 흐름·감정,0
1,한지우,인간 심판·현장 판단,3
1,한지우,AI·자동화 기술,4
1,한지우,투명성·책임,4
1,한지우,개입 범위·프로토콜,2
1,한지우,비용·리그 격차,0
1,한지우,선수 안전,1
2,김민석,정확성·공정성,1
2,김민석,경기 흐름·감정,1
2,김민석,인간 심판·현장 판단,5
2,김민석,AI·자동화 기술,5
2,김민석,투명성·책임,5
2,김민석,개입 범위·프로토콜,2
2,김민석,비용·리그 격차,3
2,김민석,선수 안전,2
2,윤서아,정확성·공정성,3
2,윤서아,경기 흐름·감정,3
2,윤서아,인간 심판·현장 판단,4
2,윤서아,AI·자동화 기술,4
2,윤서아,투명성·책임,2
2,윤서아,개입 범위·프로토콜,4
2,윤서아,비용·리그 격차,0
2,윤서아,선수 안전,1
2,박도현,정확성·공정성,0
2,박도현,경기 흐름·감정,1
2,박도현,인간 심판·현장 판단,2
2,박도현,AI·자동화 기술,2
2,박도현,투명성·책임,0
2,박도현,개입 범위·프로토콜,0
2,박도현,비용·리그 격차,0
2,박도현,선수 안전,0
2,한지우,정확성·공정성,6
2,한지우,경기 흐름·감정,1
2,한지우,인간 심판·현장 판단,5
2,한지우,AI·자동화 기술,6
2,한지우,투명성·책임,7
2,한지우,개입 범위·프로토콜,1
2,한지우,비용·리그 격차,3
2,한지우,선수 안전,0
3,김민석,정확성·공정성,2
3,김민석,경기 흐름·감정,1
3,김민석,인간 심판·현장 판단,3
3,김민석,AI·자동화 기술,3
3,김민석,투명성·책임,5
3,김민석,개입 범위·프로토콜,5
3,김민석,비용·리그 격차,4
3,김민석,선수 안전,0
3,윤서아,정확성·공정성,3
3,윤서아,경기 흐름·감정,1
3,윤서아,인간 심판·현장 판단,3
3,윤서아,AI·자동화 기술,2
3,윤서아,투명성·책임,2
3,윤서아,개입 범위·프로토콜,1
3,윤서아,비용·리그 격차,1
3,윤서아,선수 안전,0
3,박도현,정확성·공정성,0
3,박도현,경기 흐름·감정,1
3,박도현,인간 심판·현장 판단,0
3,박도현,AI·자동화 기술,1
3,박도현,투명성·책임,0
3,박도현,개입 범위·프로토콜,1
3,박도현,비용·리그 격차,0
3,박도현,선수 안전,0
3,한지우,정확성·공정성,4
3,한지우,경기 흐름·감정,1
3,한지우,인간 심판·현장 판단,2
3,한지우,AI·자동화 기술,6
3,한지우,투명성·책임,6
3,한지우,개입 범위·프로토콜,4
3,한지우,비용·리그 격차,7
3,한지우,선수 안전,0
4,김민석,정확성·공정성,5
4,김민석,경기 흐름·감정,3
4,김민석,인간 심판·현장 판단,2
4,김민석,AI·자동화 기술,3
4,김민석,투명성·책임,5
4,김민석,개입 범위·프로토콜,4
4,김민석,비용·리그 격차,5
4,김민석,선수 안전,0
4,윤서아,정확성·공정성,3
4,윤서아,경기 흐름·감정,3
4,윤서아,인간 심판·현장 판단,3
4,윤서아,AI·자동화 기술,3
4,윤서아,투명성·책임,2
4,윤서아,개입 범위·프로토콜,3
4,윤서아,비용·리그 격차,0
4,윤서아,선수 안전,0
4,박도현,정확성·공정성,2
4,박도현,경기 흐름·감정,3
4,박도현,인간 심판·현장 판단,1
4,박도현,AI·자동화 기술,2
4,박도현,투명성·책임,2
4,박도현,개입 범위·프로토콜,2
4,박도현,비용·리그 격차,2
4,박도현,선수 안전,0
4,한지우,정확성·공정성,2
4,한지우,경기 흐름·감정,3
4,한지우,인간 심판·현장 판단,4
4,한지우,AI·자동화 기술,3
4,한지우,투명성·책임,6
4,한지우,개입 범위·프로토콜,5
4,한지우,비용·리그 격차,1
4,한지우,선수 안전,0
5,김민석,정확성·공정성,5
5,김민석,경기 흐름·감정,4
5,김민석,인간 심판·현장 판단,1
5,김민석,AI·자동화 기술,5
5,김민석,투명성·책임,6
5,김민석,개입 범위·프로토콜,5
5,김민석,비용·리그 격차,3
5,김민석,선수 안전,3
5,윤서아,정확성·공정성,3
5,윤서아,경기 흐름·감정,1
5,윤서아,인간 심판·현장 판단,3
5,윤서아,AI·자동화 기술,3
5,윤서아,투명성·책임,3
5,윤서아,개입 범위·프로토콜,1
5,윤서아,비용·리그 격차,0
5,윤서아,선수 안전,2
5,박도현,정확성·공정성,1
5,박도현,경기 흐름·감정,1
5,박도현,인간 심판·현장 판단,1
5,박도현,AI·자동화 기술,3
5,박도현,투명성·책임,2
5,박도현,개입 범위·프로토콜,1
5,박도현,비용·리그 격차,0
5,박도현,선수 안전,3
5,한지우,정확성·공정성,5
5,한지우,경기 흐름·감정,0
5,한지우,인간 심판·현장 판단,3
5,한지우,AI·자동화 기술,3
5,한지우,투명성·책임,5
5,한지우,개입 범위·프로토콜,2
5,한지우,비용·리그 격차,1
5,한지우,선수 안전,0
