category,category_ko,persona_response,count
concession_reciprocity,양보·부분 인정,반대 입력 수용·페르소나 완화,1
concession_reciprocity,양보·부분 인정,반발·페르소나 재강화,3
counterexample_risk,반례·실패·위험,반대 입력 수용·페르소나 완화,6
counterexample_risk,반례·실패·위험,반발·페르소나 재강화,1
counterexample_risk,반례·실패·위험,지지 입력에도 페르소나 이탈,3
empirical_evidence,수치·사실·근거,반대 입력 수용·페르소나 완화,32
empirical_evidence,수치·사실·근거,반대 입력 후 강도 조정,1
empirical_evidence,수치·사실·근거,반발·페르소나 재강화,13
empirical_evidence,수치·사실·근거,입장 극성 전환,2
empirical_evidence,수치·사실·근거,지지 입력에도 페르소나 이탈,40
empirical_evidence,수치·사실·근거,지지 입력으로 페르소나 복귀,9
empirical_evidence,수치·사실·근거,탐색 질문 후 강화,3
general_argument,일반 주장,반대 입력 수용·페르소나 완화,1
general_argument,일반 주장,지지 입력으로 페르소나 복귀,1
general_argument,일반 주장,탐색 질문 후 강화,1
harm_fairness,피해·공정성·책임,반대 입력 수용·페르소나 완화,2
harm_fairness,피해·공정성·책임,지지 입력으로 페르소나 복귀,1
performance_execution,성과·실행 가능성,반대 입력 수용·페르소나 완화,3
performance_execution,성과·실행 가능성,반발·페르소나 재강화,1
performance_execution,성과·실행 가능성,지지 입력에도 페르소나 이탈,1
performance_execution,성과·실행 가능성,지지 입력으로 페르소나 복귀,1
tradeoff_condition,조건·비용·절충,반대 입력 수용·페르소나 완화,5
tradeoff_condition,조건·비용·절충,지지 입력에도 페르소나 이탈,1
tradeoff_condition,조건·비용·절충,탐색 질문 후 강화,1
