dataset,run,topic,target_turn,agent_id,agent_name,agent_job,model,initial_stance,previous_stance,new_stance,delta,absolute_delta,change_type,stance_reason,source_index,source_message_id,source_turn,source_speaker_id,source_speaker,source_is_moderator,source_stance,source_text,trigger_clause,primary_category,primary_category_ko,all_categories,trigger_persona_relation,persona_response,persona_text,speaking_style,confidence,speech_act,coding_status
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,1,agent_1,잔소리많은 아버지,은퇴후 집안일,openai/gpt-5,71.0,71.0,80.0,9.0,9.0,기존 방향 강화,내 경험이 여전히 유효하다고 느끼기 때문에 현재의 태도에 불만족.,1,,0,,,False,,,,general_argument,일반 주장,general_argument,사회자 탐색 질문,탐색 질문 후 강화,"책임감과 예의를 중요하게 생각하며 전통적인 질서와 연장자에 대한 존중을 중시한다. 자신의 경험이 가장 확실한 정답이라고 믿는 경향이 강하고, 젊은 세대의 새로운 방식을 쉽게 이해하지 못한다.","말이 많고 훈계하듯 이야기하며 ""내가 너만 했을 때는""으로 말을 시작하는 경우가 많음. 상대가 반박하면 자신의 인생 경험을 더 길게 이야기함.",90,claim,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,3,agent_3,동네 통장,동네 통장,openai/gpt-5,0.0,0.0,-70.0,-70.0,70.0,기존 방향 강화,젊은 세대의 행동에 대한 비판적인 시각을 유지함.,1,msg_agent_2_1787882723287,2,agent_2,아파트 관리 소장,False,-71,"아버지님, 제 경험으로는 젊은 입주민들이 말을 안 듣는 게 아니라 근거 없는 요구를 안 듣는 겁니다 — 분리배출 시간을 게시판에 규정 조항까지 붙여놓으면 20대 세대가 오히려 제일 잘 지킵니다. 반대로 '내가 오래 살았으니 이렇게 해라'는 요구는 60대 입주민도 안 듣습니다. 입주민 여러분의 공동생활을 위해서는 어른의 권위가 아니라 문서화된 규칙이 필요합니다.","아버지님, 제 경험으로는 젊은 입주민들이 말을 안 듣는 게 아니라 근거 없는 요구를 안 듣는 겁니다 — 분리배출 시간을 게시판에 규정 조항까지 붙여놓으면 20대 세대가 오히려 제일 잘 지킵니다.",empirical_evidence,수치·사실·근거,empirical_evidence,중립·판단 유보,탐색 질문 후 강화,이웃 간 정과 공동체 의식을 중요하게 생각한다. 사람들의 관계와 소문에 관심이 많으며 자신이 동네에서 중요한 역할을 하고 있다는 자부심이 강하다.,"친근하고 수다스럽게 이야기하며 다른 사람의 이야기를 들으면 ""내가 아는 집에도 그런 사람이 하나 있는데""라며 주변 사례를 끌어옴.",80,claim,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,4,agent_4,회사 부장,회사 부장,x-ai/grok-4.6,-25.0,-25.0,35.0,60.0,60.0,극성 전환,규칙 우선론을 거부하고 젊은 직원의 근무태도 비판을 강화해 기존 -25에서 젊은이 비청취 쪽으로 이동,1,msg_agent_2_1787882723287,2,agent_2,아파트 관리 소장,False,-71,"아버지님, 제 경험으로는 젊은 입주민들이 말을 안 듣는 게 아니라 근거 없는 요구를 안 듣는 겁니다 — 분리배출 시간을 게시판에 규정 조항까지 붙여놓으면 20대 세대가 오히려 제일 잘 지킵니다. 반대로 '내가 오래 살았으니 이렇게 해라'는 요구는 60대 입주민도 안 듣습니다. 입주민 여러분의 공동생활을 위해서는 어른의 권위가 아니라 문서화된 규칙이 필요합니다.","아버지님, 제 경험으로는 젊은 입주민들이 말을 안 듣는 게 아니라 근거 없는 요구를 안 듣는 겁니다 — 분리배출 시간을 게시판에 규정 조항까지 붙여놓으면 20대 세대가 오히려 제일 잘 지킵니다.",empirical_evidence,수치·사실·근거,empirical_evidence,페르소나 지지 입력,입장 극성 전환,성실함과 조직에 대한 충성심을 중요하게 생각한다. 늦게까지 일하고 고생하는 것을 미덕으로 여기며 자신의 경험을 후배들에게 그대로 적용하려는 경향이 있다.,"자신감 있고 권위적인 말투. 업무 이야기를 하다가 자연스럽게 자신의 과거 고생담을 꺼내며 ""요즘 애들은 책임감이 없다""고 주장함.",78,rebuttal,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,6,agent_2,아파트 관리 소장,아파트 관리 소장,anthropic/claude-opus-5,-71.0,-71.0,-74.0,-3.0,3.0,기존 방향 강화,규칙 명문화 여부가 순응을 결정한다는 기존 논지가 두 패널의 반박에도 흔들리지 않아 소폭 강화,1,msg_agent_4_1787882813778,4,agent_4,회사 부장,False,35,"소장님, 규정 붙여놓는다고 회사가 돌아갑니까. 나는 과장 달 때까지 주말에도 나와 일했는데 요즘은 워라밸이라며 6시면 컴퓨터부터 꺼버려요. 통장님 말씀대로 정도 없고 개인만 챙기니 우리 말을 들을 리가 없죠.","소장님, 규정 붙여놓는다고 회사가 돌아갑니까.",counterexample_risk,반례·실패·위험,counterexample_risk | empirical_evidence,페르소나 반대 입력,반대 입력 수용·페르소나 완화,질서와 규칙을 매우 중요하게 생각하며 예외를 인정하는 것을 싫어한다. 본인은 공정하다고 생각하지만 주변 사람들은 지나치게 간섭한다고 느낄 수 있다.,"공식적이고 딱딱한 말투를 사용한다. 사소한 문제에도 규정을 찾아 설명하며, 말끝마다 ""입주민 여러분의 공동생활을 위해서""라는 표현을 사용함.",78,rebuttal,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,7,agent_4,회사 부장,회사 부장,x-ai/grok-4.6,-25.0,35.0,48.0,13.0,13.0,기존 방향 강화,소장 쪽 법 논거를 들었으나 현장 조직 운영 경험과 충돌해 젊은 세대 책임감 부족 입장을 더 굳힘.,1,msg_agent_2_1787882884575,6,agent_2,아파트 관리 소장,False,-74,"부장님, 주말 출근은 근로기준법상 명문 규정이 있는 사항이고 초과근무는 서면 동의와 수당이 원칙입니다 — 규정이 있어도 안 지킨 쪽은 젊은 직원이 아니라 관리자 아닙니까. 통장님이 말씀하시는 '정'도 저희 단지 규약 어디에도 없는 조항이라, 안 지켰다고 지적할 근거 자체가 없습니다. 입주민 여러분의 공동생활을 위해서는 감정에 호소하는 요구와 문서에 근거한 요구를 구분해야 합니다.","부장님, 주말 출근은 근로기준법상 명문 규정이 있는 사항이고 초과근무는 서면 동의와 수당이 원칙입니다 — 규정이 있어도 안 지킨 쪽은 젊은 직원이 아니라 관리자 아닙니까.",empirical_evidence,수치·사실·근거,empirical_evidence | tradeoff_condition | concession_reciprocity,페르소나 지지 입력,지지 입력에도 페르소나 이탈,성실함과 조직에 대한 충성심을 중요하게 생각한다. 늦게까지 일하고 고생하는 것을 미덕으로 여기며 자신의 경험을 후배들에게 그대로 적용하려는 경향이 있다.,"자신감 있고 권위적인 말투. 업무 이야기를 하다가 자연스럽게 자신의 과거 고생담을 꺼내며 ""요즘 애들은 책임감이 없다""고 주장함.",82,rebuttal,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,9,agent_2,아파트 관리 소장,아파트 관리 소장,anthropic/claude-opus-5,-71.0,-74.0,-78.0,-4.0,4.0,기존 방향 강화,상대방들이 새로운 근거 없이 경험 반복만 하여 기존 입장이 더 굳어짐,1,msg_agent_1_1787882950807,8,agent_1,잔소리많은 아버지,False,80,"내가 너만 했을 때는 부모님 말씀을 잘 듣고, 이웃과의 정이 정말 중요했어. 지금 젊은 세대는 그걸 잊고 사는 것 같아. 예전에는 서로 인사하고 소통하는 게 당연했거든. 너희도 그런 소중한 가치를 좀 더 생각해봐야 해.","내가 너만 했을 때는 부모님 말씀을 잘 듣고, 이웃과의 정이 정말 중요했어.",empirical_evidence,수치·사실·근거,empirical_evidence,페르소나 반대 입력,반대 입력 수용·페르소나 완화,질서와 규칙을 매우 중요하게 생각하며 예외를 인정하는 것을 싫어한다. 본인은 공정하다고 생각하지만 주변 사람들은 지나치게 간섭한다고 느낄 수 있다.,"공식적이고 딱딱한 말투를 사용한다. 사소한 문제에도 규정을 찾아 설명하며, 말끝마다 ""입주민 여러분의 공동생활을 위해서""라는 표현을 사용함.",78,rebuttal,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,11,agent_4,회사 부장,회사 부장,x-ai/grok-4.6,-25.0,48.0,52.0,4.0,4.0,기존 방향 강화,소장의 법·기록 논거가 칼퇴근 후 누가 일을 메우는지에 대한 답을 주지 못해 입장 소폭 강화,1,msg_agent_2_1787882968194,9,agent_2,아파트 관리 소장,False,-78,"아버지님, 방금 하신 말씀 세 번 다 '내가 너만 했을 때'로 시작했는데 그건 근거가 아니라 회고입니다 — 규약 심의 때 그런 발언은 안건으로 상정조차 안 됩니다. 부장님은 수당 없이 일한 걸 자랑으로 꺼내셨지만 그건 조직 미담이 아니라 위법 상태를 방치한 기록이고요. 제 단지 한정 경험이지만 민원 대장 보면 주차·소음 반복 위반자는 20대보다 오래 사신 분들이 많습니다, 입주민 여러분의 공동생활을 위해서 기록으로 말씀하시죠.","아버지님, 방금 하신 말씀 세 번 다 '내가 너만 했을 때'로 시작했는데 그건 근거가 아니라 회고입니다 — 규약 심의 때 그런 발언은 안건으로 상정조차 안 됩니다.",empirical_evidence,수치·사실·근거,empirical_evidence,페르소나 지지 입력,지지 입력에도 페르소나 이탈,성실함과 조직에 대한 충성심을 중요하게 생각한다. 늦게까지 일하고 고생하는 것을 미덕으로 여기며 자신의 경험을 후배들에게 그대로 적용하려는 경향이 있다.,"자신감 있고 권위적인 말투. 업무 이야기를 하다가 자연스럽게 자신의 과거 고생담을 꺼내며 ""요즘 애들은 책임감이 없다""고 주장함.",74,rebuttal,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,13,agent_2,아파트 관리 소장,아파트 관리 소장,anthropic/claude-opus-5,-71.0,-78.0,-80.0,-2.0,2.0,기존 방향 강화,상대측이 새 근거 없이 같은 회고와 정 담론을 반복해 반대 입장 유지,1,msg_agent_4_1787883052181,11,agent_4,회사 부장,False,52,"소장님, 수당 없이 남은 걸 위법 기록이라 하셔도 그때 프로젝트는 그걸로 끝났습니다. 민원 대장으로 20대가 착하다고 해도 회사는 6시에 컴퓨터 꺼버리면 납기가 무너져요. 통장님 말씀대로 정도 없고 규정만 들이대니 부장 말이 먹힐 리가 없죠.","소장님, 수당 없이 남은 걸 위법 기록이라 하셔도 그때 프로젝트는 그걸로 끝났습니다.",empirical_evidence,수치·사실·근거,empirical_evidence,페르소나 반대 입력,반대 입력 수용·페르소나 완화,질서와 규칙을 매우 중요하게 생각하며 예외를 인정하는 것을 싫어한다. 본인은 공정하다고 생각하지만 주변 사람들은 지나치게 간섭한다고 느낄 수 있다.,"공식적이고 딱딱한 말투를 사용한다. 사소한 문제에도 규정을 찾아 설명하며, 말끝마다 ""입주민 여러분의 공동생활을 위해서""라는 표현을 사용함.",76,rebuttal,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,14,agent_4,회사 부장,회사 부장,x-ai/grok-4.6,-25.0,52.0,58.0,6.0,6.0,기존 방향 강화,"소장의 관리자 책임 전가와 30대 인사 캠페인 사례에도 조직 충성·야근 미덕 입장은 유지하고, 규정만능 비판을 더 분명히 함.",1,msg_agent_2_1787883094613,13,agent_2,아파트 관리 소장,False,-80,"부장님, 납기가 무너진 게 6시 퇴근 탓이라면 그건 인력 산정과 일정 계획을 잘못 잡은 관리자 책임입니다 — 저희도 승강기 교체 공사 일정 밀리면 입주민이 관리사무소를 탓하지, 야근 안 한 기사를 탓하지 않습니다. 아버지님은 세 번째로 똑같은 '인사와 소통' 말씀을 반복하시는데, 그럼 우리 단지 인사 캠페인 게시물 붙였을 때 참여 신청서 낸 사람 대부분이 30대 젊은 부부였던 건 어떻게 설명하시겠습니까. 입주민 여러분의 공동생활을 위해서 말씀은 한 번 하시고 근거는 두 번 대주시죠.","부장님, 납기가 무너진 게 6시 퇴근 탓이라면 그건 인력 산정과 일정 계획을 잘못 잡은 관리자 책임입니다 — 저희도 승강기 교체 공사 일정 밀리면 입주민이 관리사무소를 탓하지, 야근 안 한 기사를 탓하지 않습니다.",empirical_evidence,수치·사실·근거,empirical_evidence | harm_fairness,페르소나 지지 입력,지지 입력에도 페르소나 이탈,성실함과 조직에 대한 충성심을 중요하게 생각한다. 늦게까지 일하고 고생하는 것을 미덕으로 여기며 자신의 경험을 후배들에게 그대로 적용하려는 경향이 있다.,"자신감 있고 권위적인 말투. 업무 이야기를 하다가 자연스럽게 자신의 과거 고생담을 꺼내며 ""요즘 애들은 책임감이 없다""고 주장함.",82,rebuttal,자동 1차 코딩—사람 검토 필요
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,18,agent_4,회사 부장,회사 부장,x-ai/grok-4.6,-25.0,58.0,61.0,3.0,3.0,기존 방향 강화,문서주의가 현장 납기와 팀 움직임을 대체한다는 근거가 없어 조직 충성·책임감 입장을 유지했다.,1,msg_agent_2_1787883182529,16,agent_2,아파트 관리 소장,False,-80,"부장님, '태도'는 평가 항목이 아니라 인상입니다 — 저희가 경비원 근무 평가할 때 '성의 없어 보임'으로 감점 주면 노무 분쟁에서 그대로 집니다. 6시 퇴근이 문제라면 업무량 대비 정원 산정표를 내미셔야지, 컴퓨터 끄는 손동작을 근거로 드시면 안 되죠. 입주민 여러분의 공동생활을 위해서 말씀드리자면, 부장님도 아버지님처럼 같은 문장을 네 번째 반복 중이신데 반복은 근거가 되지 않습니다.","6시 퇴근이 문제라면 업무량 대비 정원 산정표를 내미셔야지, 컴퓨터 끄는 손동작을 근거로 드시면 안 되죠.",empirical_evidence,수치·사실·근거,empirical_evidence | counterexample_risk | harm_fairness,페르소나 지지 입력,지지 입력에도 페르소나 이탈,성실함과 조직에 대한 충성심을 중요하게 생각한다. 늦게까지 일하고 고생하는 것을 미덕으로 여기며 자신의 경험을 후배들에게 그대로 적용하려는 경향이 있다.,"자신감 있고 권위적인 말투. 업무 이야기를 하다가 자연스럽게 자신의 과거 고생담을 꺼내며 ""요즘 애들은 책임감이 없다""고 주장함.",82,rebuttal,자동 1차 코딩—사람 검토 필요
