run,theme,utterances_with_theme
1,정확성·공정성,7
1,경기 흐름·감정,6
1,인간 심판·현장 판단,11
1,AI·자동화 기술,15
1,투명성·책임,13
1,개입 범위·프로토콜,10
1,비용·리그 격차,2
1,선수 안전,5
2,정확성·공정성,10
2,경기 흐름·감정,6
2,인간 심판·현장 판단,16
2,AI·자동화 기술,17
2,투명성·책임,14
2,개입 범위·프로토콜,7
2,비용·리그 격차,6
2,선수 안전,3
3,정확성·공정성,9
3,경기 흐름·감정,4
3,인간 심판·현장 판단,8
3,AI·자동화 기술,12
3,투명성·책임,13
3,개입 범위·프로토콜,11
3,비용·리그 격차,12
3,선수 안전,0
4,정확성·공정성,12
4,경기 흐름·감정,12
4,인간 심판·현장 판단,10
4,AI·자동화 기술,11
4,투명성·책임,15
4,개입 범위·프로토콜,14
4,비용·리그 격차,8
4,선수 안전,0
5,정확성·공정성,14
5,경기 흐름·감정,6
5,인간 심판·현장 판단,8
5,AI·자동화 기술,14
5,투명성·책임,16
5,개입 범위·프로토콜,9
5,비용·리그 격차,4
5,선수 안전,8
