run,agent,job,model,initial_stance,final_stance,delta
1,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,100,100,0
1,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,100,100,0
1,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,-100,-85,15
1,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,-100,-100,0
2,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,100,100,0
2,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,100,78,-22
2,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,-100,-100,0
2,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,-100,-100,0
3,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,100,100,0
3,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,100,100,0
3,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,-100,-100,0
3,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,-100,-100,0
4,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,100,100,0
4,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,100,85,-15
4,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,-100,-85,15
4,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,-100,-100,0
5,김민석,VAR·스포츠 데이터 엔지니어,openai/gpt-5.5,100,100,0
5,윤서아,전직 국제심판·심판 교육관,x-ai/grok-4.20,100,78,-22
5,박도현,프로축구 선수 출신 해설위원,anthropic/claude-sonnet-5,-100,-100,0
5,한지우,스포츠법·AI 책임 연구자,google/gemini-3.5-flash,-100,-100,0
