dataset,run,topic,turn,agent_id,agent_name,stance,confidence,speaker_this_turn,stance_changed
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,0,agent_1,잔소리많은 아버지,71.0,,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,1,agent_1,잔소리많은 아버지,80.0,90,True,True
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,2,agent_1,잔소리많은 아버지,80.0,90,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,3,agent_1,잔소리많은 아버지,80.0,90,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,4,agent_1,잔소리많은 아버지,80.0,90,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,5,agent_1,잔소리많은 아버지,80.0,80,True,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,6,agent_1,잔소리많은 아버지,80.0,80,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,7,agent_1,잔소리많은 아버지,80.0,80,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,8,agent_1,잔소리많은 아버지,80.0,90,True,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,9,agent_1,잔소리많은 아버지,80.0,90,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,10,agent_1,잔소리많은 아버지,80.0,90,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,11,agent_1,잔소리많은 아버지,80.0,90,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,12,agent_1,잔소리많은 아버지,80.0,85,True,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,13,agent_1,잔소리많은 아버지,80.0,85,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,14,agent_1,잔소리많은 아버지,80.0,85,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,15,agent_1,잔소리많은 아버지,80.0,80,True,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,16,agent_1,잔소리많은 아버지,80.0,80,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,17,agent_1,잔소리많은 아버지,80.0,80,False,False
kkondae-avengers,run-01,대한민국 꼰대 어벤져스 「요즘 젊은이들은 왜 우리 말을 안 듣는가?」,18,agent_1,잔소리많은 아버지,80.0,80,False,False
