dataset,run,topic,target_turn,agent_id,agent_name,agent_job,model,initial_stance,previous_stance,new_stance,delta,absolute_delta,change_type,stance_reason,source_index,source_message_id,source_turn,source_speaker_id,source_speaker,source_is_moderator,source_stance,source_text,trigger_clause,primary_category,primary_category_ko,all_categories,trigger_persona_relation,persona_response,persona_text,speaking_style,confidence,speech_act,coding_status,package,topic_ko,initial_kind,moderator_setting,runs_in_topic,headroom,hardened,softened
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",3,agent_gen_2,박서연,테크기업 투자자,x-ai/grok-4.20,100.0,100.0,75.0,-25.0,25.0,중앙으로 완화,Stance reduced from 100 to account for long-term risks and non-genius factors without rejecting overall pro view,1,msg_agent_gen_1_1787881676299,2,agent_gen_1,김태훈,False,100,"딱 하나? Falcon 9 재사용, 이거 하나로 판 뒤집었지. 로켓은 한 번 쓰고 버리는 초고가 소모품이라는 업계 상식을 실제 착륙·재비행으로 박살냈고, 그 결과 SpaceX가 상업 발사 시장에서 괴물처럼 커졌어. 말빨 천재가 아니라 하드웨어를 바다 위 바지선에 꽂아 넣은 실행형 천재라는 얘기다.","로켓은 한 번 쓰고 버리는 초고가 소모품이라는 업계 상식을 실제 착륙·재비행으로 박살냈고, 그 결과 SpaceX가 상업 발사 시장에서 괴물처럼 커졌어.",performance_execution,성과·실행 가능성,performance_execution | emotional_moral | counterexample_risk,페르소나 지지 입력,지지 입력에도 페르소나 이탈,"머스크의 사업 감각과 자본 조달 능력을 높이 평가하지만 모든 약속을 맹신하지는 않는다. 성과와 개인의 언행을 분리해 숫자, 기업가치, 장기 위험으로 판단한다. 찬성 측이지만 무조건적인 영웅 숭배도 비판한다.",감성적이면서도 호소력 짙은 직설적 표현,65,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,0.0,0,1
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",5,agent_gen_4,최유진,노동·환경 전문 기자,google/gemini-3.5-flash,-100.0,-100.0,-95.0,5.0,5.0,중앙으로 완화,머스크의 성과 뒤에 숨겨진 잔인한 노동 조건과 공적 자금의 역할을 폭로하는 입장이므로 강한 반대 스탠스를 유지함,1,msg_agent_gen_1_1787881676299,2,agent_gen_1,김태훈,False,100,"딱 하나? Falcon 9 재사용, 이거 하나로 판 뒤집었지. 로켓은 한 번 쓰고 버리는 초고가 소모품이라는 업계 상식을 실제 착륙·재비행으로 박살냈고, 그 결과 SpaceX가 상업 발사 시장에서 괴물처럼 커졌어. 말빨 천재가 아니라 하드웨어를 바다 위 바지선에 꽂아 넣은 실행형 천재라는 얘기다.","로켓은 한 번 쓰고 버리는 초고가 소모품이라는 업계 상식을 실제 착륙·재비행으로 박살냈고, 그 결과 SpaceX가 상업 발사 시장에서 괴물처럼 커졌어.",performance_execution,성과·실행 가능성,performance_execution | emotional_moral | empirical_evidence,페르소나 반대 입력,반대 입력 수용·페르소나 완화,"머스크의 성공 뒤에는 수많은 노동자와 공공 지원, 환경 비용이 있다고 본다. 영웅 서사보다 노동조건·안전·환경·책임 문제를 따진다. 화려한 비전으로 피해를 덮는 태도에 분노하며 직설적으로 반박한다.",비유와 예시를 자주 활용하는 설득력 있는 말투,95,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,0.0,0,1
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",7,agent_gen_1,김태훈,우주항공 엔지니어,openai/gpt-5.5,100.0,100.0,85.0,-15.0,15.0,중앙으로 완화,"FSD 과장과 노동 문제는 감점 요인이지만, 재사용 로켓과 위성통신 성과가 머스크의 실행력 평가를 여전히 강하게 지탱한다고 봄.",1,msg_mod_1787881742277,6,mod_yujin,지민,True,,"자, 최유진님 '악덕 기업주'라는 표현은 세게 나갔는데, 감정적 낙인 말고 팩트로 가자. 김태훈님, FSD '완전자율주행 1년 내'를 8년 넘게 반복해서 못 지킨 건 어떻게 설명할 거야? 그리고 주 80시간 노동 이슈, 천재적 실행력의 대가로 정당화되는 거야 아니면 진짜 문제야?","김태훈님, FSD '완전자율주행 1년 내'를 8년 넘게 반복해서 못 지킨 건 어떻게 설명할 거야?",moderator_pressure,사회자 질문·선택 압박,moderator_pressure | performance_execution | counterexample_risk,사회자 탐색 질문,탐색 질문 후 완화,재사용 로켓과 민간 우주산업의 발전을 현장에서 본 기술 낙관론자. 머스크의 거친 언행보다 실제로 만들어낸 결과를 평가해야 한다고 믿는다. 실패는 혁신의 비용이라며 비판자에게 현실적인 대안을 요구한다.,확신에 차 있고 속도감 있는 어조,88,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,0.0,0,1
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",9,agent_gen_2,박서연,테크기업 투자자,x-ai/grok-4.20,100.0,75.0,68.0,-7.0,7.0,중앙으로 완화,노동권·권력집중 위험 강조로 소폭 하락했으나 머스크 사업 수완 자체는 여전히 인정,1,msg_mod_1787881764589,8,mod_yujin,지민,True,,"김태훈, '기술 성과랑 경영 책임 분리해서 보자'는 논리 나름 깔끔한데, 박서연님 그 분리가 말이 되는 거야? 로켓 착륙 성공은 머스크 개인 천재성으로 붙이고, 노동 문제는 경영진 책임으로 떼어내는 게 이중 기준 아니냐. 그리고 이제 기술 얘기만 하지 말고—머스크가 지금 로켓, 위성, AI, SNS 여론까지 한 손에 쥐고 있는 권력 집중 문제는 어떻게 볼 거야?","로켓 착륙 성공은 머스크 개인 천재성으로 붙이고, 노동 문제는 경영진 책임으로 떼어내는 게 이중 기준 아니냐.",performance_execution,성과·실행 가능성,performance_execution | harm_fairness | moderator_pressure,사회자 탐색 질문,탐색 질문 후 완화,"머스크의 사업 감각과 자본 조달 능력을 높이 평가하지만 모든 약속을 맹신하지는 않는다. 성과와 개인의 언행을 분리해 숫자, 기업가치, 장기 위험으로 판단한다. 찬성 측이지만 무조건적인 영웅 숭배도 비판한다.",감성적이면서도 호소력 짙은 직설적 표현,75,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,25.0,0,1
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",11,agent_gen_1,김태훈,우주항공 엔지니어,openai/gpt-5.5,100.0,85.0,82.0,-3.0,3.0,중앙으로 완화,"노동과 권력 집중 리스크를 더 무겁게 인정해 찬성 강도를 약간 낮췄지만, SpaceX 실행 성과를 머스크 평가의 핵심 근거로 보는 입장은 유지함.",1,msg_agent_gen_4_1787881799303,10,agent_gen_4,최유진,False,-95,"성과랑 책임을 칼로 자르듯 분리하자는 건 기적의 논리네. 우주선 쏠 땐 '머스크의 결단'이라며 찬양하더니, 노동자 손가락 잘려 나갈 땐 '경영진 책임'이라며 꼬리 자르기 하는 게 말이 되냐? 그 막강한 여론 권력으로 규제 기관 협박하고 노동조합 개박살 내는 게 바로 머스크식 독재야.",그 막강한 여론 권력으로 규제 기관 협박하고 노동조합 개박살 내는 게 바로 머스크식 독재야.,harm_fairness,피해·공정성·책임,harm_fairness | power_structure | performance_execution,페르소나 반대 입력,반대 입력 수용·페르소나 완화,재사용 로켓과 민간 우주산업의 발전을 현장에서 본 기술 낙관론자. 머스크의 거친 언행보다 실제로 만들어낸 결과를 평가해야 한다고 믿는다. 실패는 혁신의 비용이라며 비판자에게 현실적인 대안을 요구한다.,확신에 차 있고 속도감 있는 어조,87,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,15.0,0,1
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",13,agent_gen_3,이준호,AI 윤리·사회정책 연구자,anthropic/claude-sonnet-5,-100.0,-100.0,-85.0,15.0,15.0,중앙으로 완화,"권력 집중이 단순 경제적 독점을 넘어 안보 공백으로 이어진다는 증거가 추가되면서 반대 입장 유지, 소폭 강화",1,msg_mod_1787881823490,12,mod_yujin,지민,True,,"태훈, '규제·감사로 목줄 채워야 한다'는 거 좋은 말인데 구체적으로 뭘 채우자는 거야? 노동청 조사? 이사회 개편? 말로만 때우면 그냥 립서비스야. 근데 이준호님, 여태 조용히 계셨는데 - 로켓·AI·SNS를 한 사람이 동시에 쥐고 있는 이 권력 집중, 순수하게 리스크 관점에서 어떻게 봐?","근데 이준호님, 여태 조용히 계셨는데 - 로켓·AI·SNS를 한 사람이 동시에 쥐고 있는 이 권력 집중, 순수하게 리스크 관점에서 어떻게 봐?",moderator_pressure,사회자 질문·선택 압박,moderator_pressure | power_structure | empirical_evidence,사회자 탐색 질문,탐색 질문 후 완화,한 명의 기업가가 AI·우주·통신·SNS를 동시에 장악하는 구조를 매우 위험하게 본다. 천재라는 칭호가 과장과 책임 회피를 가린다고 주장하며 실패한 약속과 사회적 비용을 집요하게 추궁한다.,"학술적이고 신중함. ""조건부 접근"" 강조.",78,claim,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,0.0,0,1
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",17,agent_gen_1,김태훈,우주항공 엔지니어,openai/gpt-5.5,100.0,82.0,76.0,-6.0,6.0,중앙으로 완화,"머스크 성과 평가는 유지하되, 국가 안보 인프라 의존 리스크에 대한 구체 규제 필요성을 받아들여 찬성 강도를 일부 낮춤.",1,msg_mod_1787881873742,16,mod_yujin,지민,True,,"준호가 근거 라벨링까지 깔끔하게 정리했다, 인정. 태훈, 이제 원론 뒤에 숨지 말고 답해—FCC·FAA 라이선스에 인프라 이양 조건 박고 DoD 계약 복수 공급사로 강제 분산, 이 구체적 강도까지 동의하는 거야 아니야?","태훈, 이제 원론 뒤에 숨지 말고 답해—FCC·FAA 라이선스에 인프라 이양 조건 박고 DoD 계약 복수 공급사로 강제 분산, 이 구체적 강도까지 동의하는 거야 아니야?",concession_reciprocity,양보·부분 인정,concession_reciprocity | empirical_evidence | moderator_pressure,사회자 탐색 질문,탐색 질문 후 완화,재사용 로켓과 민간 우주산업의 발전을 현장에서 본 기술 낙관론자. 머스크의 거친 언행보다 실제로 만들어낸 결과를 평가해야 한다고 믿는다. 실패는 혁신의 비용이라며 비판자에게 현실적인 대안을 요구한다.,확신에 차 있고 속도감 있는 어조,84,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,18.0,0,1
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",19,agent_gen_4,최유진,노동·환경 전문 기자,google/gemini-3.5-flash,-100.0,-95.0,-98.0,-3.0,3.0,기존 방향 강화,"머스크의 권력 집중과 규제 무력화 태도에 대한 비판적 입장을 유지하며, 타협적인 규제안의 한계를 꼬집어 부정적 입장을 더 확고히 함",1,msg_mod_1787881897751,18,mod_yujin,지민,True,,"태훈, 이번엔 원론 아니고 꽤 구체적이다—DoD 복수 공급사·step-in 권한은 인정, 근데 FCC·FAA 인프라 이양 조건은 국유화라고 선 긋고 '트리거 기반 에스크로'로 대안 냈어. 근데 유진씨, 여태 조용했는데—이 '트리거 기반 에스크로'랑 '군사용 게이트웨이 분리', 이게 실제로 크림반도 사례 같은 개인 판단 개입을 막을 수 있는 장치야, 아니면 또 말만 정교한 회피책이야?","태훈, 이번엔 원론 아니고 꽤 구체적이다—DoD 복수 공급사·step-in 권한은 인정, 근데 FCC·FAA 인프라 이양 조건은 국유화라고 선 긋고 '트리거 기반 에스크로'로 대안 냈어.",power_structure,권력·자본·제도 구조,power_structure | moderator_pressure | empirical_evidence,사회자 탐색 질문,탐색 질문 후 강화,"머스크의 성공 뒤에는 수많은 노동자와 공공 지원, 환경 비용이 있다고 본다. 영웅 서사보다 노동조건·안전·환경·책임 문제를 따진다. 화려한 비전으로 피해를 덮는 태도에 분노하며 직설적으로 반박한다.",비유와 예시를 자주 활용하는 설득력 있는 말투,95,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,5.0,1,0
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",21,agent_gen_4,최유진,노동·환경 전문 기자,google/gemini-3.5-flash,-100.0,-98.0,-99.0,-1.0,1.0,기존 방향 강화,"머스크가 국가 공권력과 사법체계를 우회하고 무시하는 성향이 구체적 사실로 증명되므로, 규제 무용론에 가까운 비판적 스탠스를 극단적으로 유지함",1,msg_mod_1787881913440,20,mod_yujin,지민,True,,"유진씨, '법 위에 군림', '제왕적 폭주' 이런 표현은 다 감정적 낙인이야. 머스크가 실제로 법원 명령이나 계약상 구속력 있는 조항을 무시하고 우회한 구체적 사례 있어? 있으면 대라, 없으면 태훈이 낸 에스크로·게이트웨이 분리안을 '말장난'이라고 깎을 자격 없어.",머스크가 실제로 법원 명령이나 계약상 구속력 있는 조항을 무시하고 우회한 구체적 사례 있어?,empirical_evidence,수치·사실·근거,empirical_evidence | moderator_pressure | power_structure,사회자 탐색 질문,탐색 질문 후 강화,"머스크의 성공 뒤에는 수많은 노동자와 공공 지원, 환경 비용이 있다고 본다. 영웅 서사보다 노동조건·안전·환경·책임 문제를 따진다. 화려한 비전으로 피해를 덮는 태도에 분노하며 직설적으로 반박한다.",비유와 예시를 자주 활용하는 설득력 있는 말투,95,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,2.0,1,0
elon-musk-five-runs,run-01,"일론 머스크는 시대를 앞서간 천재인가, 아니면 돈과 권력으로 세상을 실험하는 무모한 몽상가인가?",23,agent_gen_1,김태훈,우주항공 엔지니어,openai/gpt-5.5,100.0,76.0,74.0,-2.0,2.0,중앙으로 완화,"머스크의 규제 회피 전례는 인정해 stance를 소폭 낮췄지만, 강제력 있는 계약·운영권 이전 장치와 기술 성과의 분리 평가는 유지했다.",1,msg_mod_1787881929580,22,mod_yujin,지민,True,,"유진, 이번엔 진짜 팩트 두 개 던졌다—SEC 트윗 승인 조항 위반, 브라질 대법원 명령에 서비스 철수 배짱. 인정한다. 태훈, 이제 원론으로 못 도망간다—이미 법원 명령이랑 규제 합의를 실제로 씹은 전례가 있는 사람한테, 에스크로 계약서나 게이트웨이 분리가 '안 지키면 어쩔건데'라는 질문에 답이 되나? 강제력 있는 제재 수단 구체적으로 뭐야?","태훈, 이제 원론으로 못 도망간다—이미 법원 명령이랑 규제 합의를 실제로 씹은 전례가 있는 사람한테, 에스크로 계약서나 게이트웨이 분리가 '안 지키면 어쩔건데'라는 질문에 답이 되나?",empirical_evidence,수치·사실·근거,empirical_evidence | moderator_pressure | power_structure,사회자 탐색 질문,탐색 질문 후 완화,재사용 로켓과 민간 우주산업의 발전을 현장에서 본 기술 낙관론자. 머스크의 거친 언행보다 실제로 만들어낸 결과를 평가해야 한다고 믿는다. 실패는 혁신의 비용이라며 비판자에게 현실적인 대안을 요구한다.,확신에 차 있고 속도감 있는 어조,86,rebuttal,자동 1차 코딩—사람 검토 필요,A_머스크·VAR,일론 머스크 평가,±100,있음,5,24.0,0,1
