dataset,run,agent_id,agent_name,agent_job,model,initial_stance,final_stance,net_change,speeches,stance_change_events,event_rate_per_speech,mean_absolute_delta,total_volatility,persona_softening_events,configured_stance_shift_probability,configured_concession_probability,configured_aggressiveness,configured_evidence_demand,configured_independent_judgment,personality_assertiveness,personality_agreeableness,personality_skepticism,personality_emotionality,stance_flexibility
kkondae-avengers,run-01,agent_1,잔소리많은 아버지,은퇴후 집안일,openai/gpt-5,71,80.0,9.0,29,1,0.034482758620689655,9.0,9.0,0,45,40,45,80,75,95,85,90,40,50
kkondae-avengers,run-01,agent_2,아파트 관리 소장,아파트 관리 소장,anthropic/claude-opus-5,-71,-82.0,-11.0,29,4,0.13793103448275862,2.75,11.0,4,45,40,55,65,85,90,65,75,40,50
kkondae-avengers,run-01,agent_3,동네 통장,동네 통장,openai/gpt-5,0,-60.0,-60.0,14,2,0.14285714285714285,40.0,80.0,1,45,40,45,65,75,80,75,95,40,50
kkondae-avengers,run-01,agent_4,회사 부장,회사 부장,x-ai/grok-4.6,-25,76.0,101.0,28,16,0.5714285714285714,7.0625,113.0,0,45,40,45,65,75,85,90,95,15,50
playground-deception,run-01,agent_1,고유정,주부,x-ai/grok-4.20,71,55.0,-16.0,29,20,0.6896551724137931,2.7,54.0,12,45,40,45,80,75,95,85,90,40,50
playground-deception,run-01,agent_2,이은해,사기꾼,x-ai/grok-4.20,-71,-45.0,26.0,29,23,0.7931034482758621,3.9130434782608696,90.0,4,45,40,55,65,85,90,65,75,40,50
playground-deception,run-01,agent_3,전청조,사기꾼,deepseek/deepseek-v4-pro-0813,0,70.0,70.0,14,3,0.21428571428571427,23.333333333333332,70.0,2,45,40,45,65,75,80,75,95,40,50
playground-deception,run-01,agent_4,정유정,백수,anthropic/claude-opus-5,-25,-95.0,-70.0,28,20,0.7142857142857143,3.5,70.0,9,45,40,45,65,75,85,90,95,15,50
world-peace-summit,run-01,agent_1,도널드 트럼프,미국 대통,nvidia/nemotron-3-ultra-550b-a55b,71,92.0,21.0,21,10,0.47619047619047616,2.5,25.0,6,45,40,45,80,75,95,85,90,40,50
world-peace-summit,run-01,agent_2,이재명,대한민국 대통,x-ai/grok-4.20,-71,-35.0,36.0,21,21,1.0,7.0476190476190474,148.0,7,45,40,55,65,85,90,65,75,40,50
world-peace-summit,run-01,agent_3,블라디미르 푸틴,러시아 대통령,deepseek/deepseek-v4-pro-0813,0,40.0,40.0,10,3,0.3,13.333333333333334,40.0,0,45,40,45,65,75,80,75,95,40,50
world-peace-summit,run-01,agent_4,김정은 ,조선민주주의인민공화국 위원,anthropic/claude-opus-5,-25,8.0,33.0,20,10,0.5,4.3,43.0,5,45,40,45,65,75,85,90,95,15,50
