category,category_ko,persona_response,count
concession_reciprocity,양보·부분 인정,탐색 질문 후 완화,2
counterexample_risk,반례·실패·위험,반대 입력 수용·페르소나 완화,2
counterexample_risk,반례·실패·위험,탐색 질문 후 완화,2
empirical_evidence,수치·사실·근거,반대 입력 수용·페르소나 완화,5
empirical_evidence,수치·사실·근거,탐색 질문 후 강화,1
empirical_evidence,수치·사실·근거,탐색 질문 후 완화,11
harm_fairness,피해·공정성·책임,반대 입력 수용·페르소나 완화,3
harm_fairness,피해·공정성·책임,탐색 질문 후 완화,2
moderator_pressure,사회자 질문·선택 압박,탐색 질문 후 완화,7
performance_execution,성과·실행 가능성,반대 입력 수용·페르소나 완화,4
performance_execution,성과·실행 가능성,지지 입력에도 페르소나 이탈,4
performance_execution,성과·실행 가능성,탐색 질문 후 완화,3
power_structure,권력·자본·제도 구조,반대 입력 수용·페르소나 완화,1
power_structure,권력·자본·제도 구조,탐색 질문 후 강화,1
power_structure,권력·자본·제도 구조,탐색 질문 후 완화,4
